Date,Reference
13.06.23,IKK/FJB/Q1306.23-11a

Validity,Payment,Delivery
1 week,60 days PDC,To Site

S.I,Description,Qty,Unit,U/Price,TOTAL
,CABLE TRAY & ACCESSORIES - HDG,,,,
1,"900 MM CABLE TRAY HDG, 2.0 MM THICKNESS",119,Mtr/Lth,255.00,"30,345.00"
2,"750 MM CABLE TRAY HDG, 2.0 MM THICKNESS",77,Mtr/Lth,218.00,"16,786.00"
3,"600 MM CABLE TRAY HDG, 2.0 MM THICKNESS",111,Mtr/Lth,181.00,"20,091.00"
4,"450 MM CABLE TRAY HDG, 2.0 MM THICKNESS",271,Mtr/Lth,144.00,"39,024.00"
5,"300 MM CABLE TRAY HDG, 1.5 MM THICKNESS",786,Mtr/Lth,83.00,"65,238.00"
6,"225 MM CABLE TRAY HDG, 1.5 MM THICKNESS",560,Mtr/Lth,68.00,"38,080.00"
7,"200 MM CABLE TRAY HDG, 1.5 MM THICKNESS",10,Mtr/Lth,63.00,630.00
8,"150 MM CABLE TRAY HDG, 1.5 MM THICKNESS","1,000",Mtr/Lth,54.00,"54,000.00"
9,"100 MM CABLE TRAY HDG, 1.5 MM THICKNESS",900,Mtr/Lth,44.00,"39,600.00"
10,"900 MM CABLE TRAY COVER HDG,",7,Mtr/Lth,232.00,"1,624.00"
11,"750 MM CABLE TRAY COVER HDG,",4,Mtr/Lth,195.00,780.00
12,"600 MM CABLE TRAY COVER HDG,",11,Mtr/Lth,157.00,"1,727.00"
13,"450 MM CABLE TRAY COVER HDG,",5,Mtr/Lth,120.00,600.00
14,"300 MM CABLE TRAY COVER HDG,",44,Mtr/Lth,64.00,"2,816.00"
15,"225 MM CABLE TRAY COVER HDG,",38,Mtr/Lth,50.00,"1,900.00"
16,"200 MM CABLE TRAY COVER HDG,",2,Mtr/Lth,45.00,90.00
17,"150 MM CABLE TRAY COVER HDG,",19,Mtr/Lth,35.00,665.00
18,"100 MM CABLE TRAY COVER HDG,",204,Mtr/Lth,26.00,"5,304.00"
19,900 MM CABLE TRAY 90DEG BEND,10,Nos,102.00,"1,020.00"
20,750 MM CABLE TRAY 90DEG BEND,10,Nos,87.00,870.00
21,600 MM CABLE TRAY 90DEG BEND,10,Nos,72.00,720.00
22,450 MM CABLE TRAY 90DEG BEND,10,Nos,57.00,570.00
23,300 MM CABLE TRAY 90DEG BEND,10,Nos,29.00,290.00
24,225 MM CABLE TRAY 90DEG BEND,10,Nos,23.00,230.00
25,200 MM CABLE TRAY 90DEG BEND,10,Nos,22.00,220.00
26,150 MM CABLE TRAY 90DEG BEND,10,Nos,18.00,180.00

S.I,Description,Qty,Unit,U/Price,TOTAL
27,100 MM CABLE TRAY 90DEG BEND,10,Nos,15.00,150.00
28,900 MM CABLE TRAY 45DEG BEND,10,Nos,102.00,"1,020.00"
29,750 MM CABLE TRAY 45DEG BEND,10,Nos,87.00,870.00
30,600 MM CABLE TRAY 45DEG BEND,10,Nos,72.00,720.00
31,450 MM CABLE TRAY 45DEG BEND,10,Nos,57.00,570.00
32,300 MM CABLE TRAY 45DEG BEND,10,Nos,29.00,290.00
33,225 MM CABLE TRAY 45DEG BEND,10,Nos,23.00,230.00
34,200 MM CABLE TRAY 45DEG BEND,10,Nos,22.00,220.00
35,150 MM CABLE TRAY 45DEG BEND,10,Nos,18.00,180.00
36,100 MM CABLE TRAY 45DEG BEND,10,Nos,15.00,150.00
37,900 MM CABLE TRAY EQUAL TEE,10,Nos,102.00,"1,020.00"
38,750 MM CABLE TRAY EQUAL TEE,10,Nos,87.00,870.00
39,600 MM CABLE TRAY EQUAL TEE,10,Nos,72.00,720.00
40,450 MM CABLE TRAY EQUAL TEE,10,Nos,57.00,570.00
41,300 MM CABLE TRAY EQUAL TEE,10,Nos,29.00,290.00
42,225 MM CABLE TRAY EQUAL TEE,10,Nos,23.00,230.00
43,200 MM CABLE TRAY EQUAL TEE,10,Nos,22.00,220.00
44,150 MM CABLE TRAY EQUAL TEE,10,Nos,18.00,180.00
45,100 MM CABLE TRAY EQUAL TEE,10,Nos,15.00,150.00
46,900X900X750 MM UNEQUAL TEE,20,Nos,102.00,"2,040.00"
47,750X750X600 MM UNEQUAL TEE,20,Nos,87.00,"1,740.00"
48,600X600X450 MM UNEQUAL TEE,20,Nos,72.00,"1,440.00"
49,450X450X300 MM UNEQUAL TEE,20,Nos,57.00,"1,140.00"
50,300X300X225 MM UNEQUAL TEE,20,Nos,29.00,580.00
51,225X225X150 MM UNEQUAL TEE,20,Nos,23.00,460.00
52,150X150X100 MM UNEQUAL TEE,20,Nos,18.00,360.00
53,900X750 MM STRAIGHT REDUCER,10,Nos,102.00,"1,020.00"
54,750X600 MM STRAIGHT REDUCER,10,Nos,87.00,870.00
55,600X450 MM STRAIGHT REDUCER,10,Nos,72.00,720.00
56,450X300 MM STRAIGHT REDUCER,10,Nos,57.00,570.00
57,300X225 MM STRAIGHT REDUCER,10,Nos,29.00,290.00
58,225X150 MM STRAIGHT REDUCER,10,Nos,23.00,230.00
59,150X100 MM STRAIGHT REDUCER,10,Nos,18.00,180.00
60,900 MM INSIDE RISER,10,Nos,102.00,"1,020.00"
61,750 MM INSIDE RISER,10,Nos,87.00,870.00
62,600 MM INSIDE RISER,10,Nos,72.00,720.00

S.I,Description,Qty,Unit,U/Price,TOTAL
63,450 MM INSIDE RISER,10,Nos,57.00,570.00
64,300 MM INSIDE RISER,10,Nos,29.00,290.00
65,225 MM INSIDE RISER,10,Nos,23.00,230.00
66,200 MM INSIDE RISER,10,Nos,22.00,220.00
67,150 MM INSIDE RISER,10,Nos,18.00,180.00
68,100 MM INSIDE RISER,10,Nos,15.00,150.00
69,900 MM OUTSIDE RISER,10,Nos,102.00,"1,020.00"
70,750 MM OUTSIDE RISER,10,Nos,87.00,870.00
71,600 MM OUTSIDE RISER,10,Nos,72.00,720.00
72,450 MM OUTSIDE RISER,10,Nos,57.00,570.00
73,300 MM OUTSIDE RISER,10,Nos,29.00,290.00
74,225 MM OUTSIDE RISER,10,Nos,23.00,230.00
75,200 MM OUTSIDE RISER,10,Nos,22.00,220.00
76,150 MM OUTSIDE RISER,10,Nos,18.00,180.00
77,100 MM OUTSIDE RISER,10,Nos,15.00,150.00
78,75 MM OUTSIDE RISER,10,Nos,13.00,130.00
79,50 MM OUTSIDE RISER,10,Nos,11.00,110.00
80,900 MM ADDON BRANCH,20,Nos,102.00,"2,040.00"
81,750 MM ADDON BRANCH,20,Nos,87.00,"1,740.00"
82,600 MM ADDON BRANCH,20,Nos,72.00,"1,440.00"
83,450 MM ADDON BRANCH,20,Nos,57.00,"1,140.00"
84,300 MM ADDON BRANCH,20,Nos,29.00,580.00
85,225 MM ADDON BRANCH,20,Nos,23.00,460.00
86,150 MM ADDON BRANCH,20,Nos,18.00,360.00
87,100 MM ADDON BRANCH,20,Nos,15.00,300.00
88,900X50 MM FISH PLATE,50,Nos,12.00,600.00
89,750X50 MM FISH PLATE,50,Nos,10.00,500.00
90,600X50 MM FISH PLATE,50,Nos,8.00,400.00
91,450X50 MM FISH PLATE,50,Nos,6.00,300.00
92,300X50 MM FISH PLATE,50,Nos,5.00,250.00
93,225X50 MM FISH PLATE,50,Nos,4.00,200.00
94,150X50 MM FISH PLATE,50,Nos,3.00,150.00
95,100X50 MM FISH PLATE,50,Nos,2.00,100.00
96,CABLE TRAY FLANGE,100,Nos,4.00,400.00
97,CABLE TRAY END CAP,100,Nos,3.00,300.00
98,CABLE TRAY COUPLER,"10,000",Nos,2.00,"20,000.00"

S.I,Description,Qty,Unit,U/Price,TOTAL
99,CABLE TRAY COUPLER WRAP OVER,"1,000",Nos,4.00,"4,000.00"
100,CABLE TRAY EARTH STRIP,"20,000",Nos,1.00,"20,000.00"
101,CABLE TRAY EXPANSION COUPLER 50MM HEIGHT,100,Nos,3.00,300.00
,CABLE TRUNKING & ACCESSORIES PRE GALVANIZED,,,,
1,150X150 MM CABLE TRUNKING 1.5MM THICKNESS,50,Mtr/Lth,102.00,"5,100.00"
2,100X100 MM CABLE TRUNKING 1.2MM THICKNESS,100,Mtr/Lth,60.00,"6,000.00"
3,75X75 MM CABLE TRUNKING 1.0MM THICKNESS,20,Mtr/Lth,34.00,680.00
4,50X50 MM CABLE TRUNKING 1.0MM THICKNESS,50,Mtr/Lth,24.00,"1,200.00"
5,150X150 MM CABLE TRUNKING EQUAL TEE,20,Nos,25.00,500.00
6,100X100 MM CABLE TRUNKING EQUAL TEE,20,Nos,15.00,300.00
7,75X75 MM CABLE TRUNKING EQUAL TEE,20,Nos,8.50,170.00
8,50X50 MM CABLE TRUNKING EQUAL TEE,20,Nos,6.00,120.00
9,150X150 MM CABLE TRUNKING EQUAL TEE TOP LID,20,Nos,25.00,500.00
10,100X100 MM CABLE TRUNKING EQUAL TEE TOP LID,20,Nos,15.00,300.00
11,75X75 MM CABLE TRUNKING EQUAL TEE TOP LID,20,Nos,8.50,170.00
12,50X50 MM CABLE TRUNKING EQUAL TEE TOP LID,20,Nos,6.00,120.00
13,150X150 MM CABLE TRUNKING 45 DEGREE BEND,20,Nos,25.00,500.00
14,100X100 MM CABLE TRUNKING 45 DEGREE BEND,20,Nos,15.00,300.00
15,75X75 MM CABLE TRUNKING 45 DEGREE BEND,20,Nos,8.50,170.00
16,50X50 MM CABLE TRUNKING 45 DEGREE BEND,20,Nos,6.00,120.00
17,150X150 MM CABLE TRUNKING 90 DEGREE BEND,20,Nos,25.00,500.00
18,100X100 MM CABLE TRUNKING 90 DEGREE BEND,20,Nos,15.00,300.00
19,75X75 MM CABLE TRUNKING 90 DEGREE BEND,20,Nos,8.50,170.00
20,50X50 MM CABLE TRUNKING 90 DEGREE BEND,20,Nos,6.00,120.00
21,150X150MM TO 100X100 MM REDUCER,20,Nos,25.00,500.00
22,150X100MM TO 100X100 MM REDUCER,20,Nos,25.00,500.00
23,100X100MM TO 50X50 MM REDUCER,20,Nos,15.00,300.00
24,75X75MM TO 50X50 MM REDUCER,20,Nos,8.50,170.00
25,100X100MM TO 75X75 MM REDUCER,20,Nos,15.00,300.00
26,150X150X100 UNEQUAL TEE,20,Nos,25.00,500.00
27,100X100X50 UNEQUAL TEE,20,Nos,15.00,300.00
28,75X75X50 UNEQUAL TEE,20,Nos,8.50,170.00
29,100x50x50 UNEQUAL TEE,20,Nos,15.00,300.00
30,100X100X75 UNEQUAL TEE,20,Nos,15.00,300.00
31,150X150X100X100 SQUARE TEE,20,Nos,25.00,500.00
32,150X150X150X100 SQUARE TEE,20,Nos,25.00,500.00

S.I,Description,Qty,Unit,U/Price,TOTAL
33,50MM TRUNKING COUPLER,20,Nos,1.00,20.00
34,75MM TRUNKING COUPLER,"1,500",Nos,1.50,"2,250.00"
35,100MM TRUNKING COUPLER,"1,500",Nos,1.75,"2,625.00"
36,150MM TRUNKING COUPLER,"1,500",Nos,2.00,"3,000.00"
37,150X150 MM CABLE TRUNKING EXPANSION COUPLER,20,Nos,3.00,60.00
38,100X100 MM CABLE TRUNKING EXPANSION COUPLER,20,Nos,2.00,40.00
39,75X75 MM CABLE TRUNKING EXPANSION COUPLER,20,Nos,1.75,35.00
40,50X50 MM CABLE TRUNKING EXPANSION COUPLER,100,Nos,1.50,150.00
41,CABLE TRUNKING END CAP,500,Nos,3.00,"1,500.00"
42,CABLE TRUNKING EARTH STRIP,"5,000",Nos,1.00,"5,000.00"
,,,,TOTAL,"444,350.00"
,,,,VAT 5%,"22,217.50"
,,,GRAND,TOTAL (AED),"466,567.50"
